0 5 10 15 
1 7 12 16 
1 7 12 17 
1 7 12 18 
1 7 12 19 
1 7 13 15 
1 7 13 16 
1 7 13 17 
1 7 13 18 
1 7 13 19 
1 7 14 15 
1 7 14 16 
1 7 14 17 
1 7 14 18 
1 7 14 19 
1 8 10 15 
1 8 10 16 
1 8 10 17 
1 8 10 18 
1 8 10 19 
1 8 11 15 
1 8 11 16 
1 8 11 17 
1 8 11 18 
1 8 11 19 
1 8 12 15 
1 8 12 16 
1 8 12 17 
1 8 12 18 
1 8 12 19 
1 8 13 15 
1 8 13 16 
1 8 13 17 
1 8 13 18 
1 8 13 19 
1 8 14 15 
1 8 14 16 
1 8 14 17 
1 8 14 18 
1 8 14 19 
1 9 10 15 
1 9 10 16 
1 9 10 17 
1 9 10 18 
1 9 10 19 
1 9 11 15 
1 9 11 16 
1 9 11 17 
1 9 11 18 
1 9 11 19 
1 9 12 15 
1 9 12 16 
1 9 12 17 
1 9 12 18 
1 9 12 19 
1 9 13 15 
1 9 13 16 
1 9 13 17 
1 9 13 18 
1 9 13 19 
1 9 14 15 
1 9 14 16 
1 9 14 17 
1 9 14 18 
1 9 14 19 
2 5 10 15 
2 5 10 16 
2 5 10 17 
2 5 10 18 
2 5 10 19 
2 5 11 15 
2 5 11 16 
2 5 11 17 
2 5 11 18 
2 5 11 19 
2 5 12 15 
2 5 12 16 
2 5 12 17 
2 5 12 18 
2 5 12 19 
2 5 13 15 
2 5 13 16 
2 5 13 17 
2 5 13 18 
2 5 13 19 
2 5 14 15 
2 5 14 16 
2 5 14 17 
2 5 14 18 
2 5 14 19 
2 6 10 15 
2 6 10 16 
2 6 10 17 
2 6 10 18 
2 6 10 19 
2 6 11 15 
2 6 11 16 
2 6 11 17 
2 6 11 18 
2 6 11 19 
2 6 12 15 
2 6 12 16 
2 6 12 17 
2 6 12 18 
2 6 12 19 
2 6 13 15 
2 6 13 16 
2 6 13 17 
2 6 13 18 
2 6 13 19 
2 6 14 15 
2 6 14 16 
2 6 14 17 
2 6 14 18 
2 6 14 19 
2 7 10 15 
2 7 10 16 
2 7 10 17 
2 7 10 18 
2 7 10 19 
2 7 11 15 
2 7 11 16 
2 7 11 17 
2 7 11 18 
2 7 11 19 
2 7 12 15 
2 7 12 16 
2 7 12 17 
2 7 12 18 
2 7 12 19 
2 7 13 15 
2 7 13 16 
2 7 13 17 
2 7 13 18 
2 7 13 19 
2 7 14 15 
2 7 14 16 
2 7 14 17 
2 7 14 18 
2 7 14 19 
2 8 10 15 
2 8 10 16 
2 8 10 17 
2 8 10 18 
2 8 10 19 
2 8 11 15 
2 8 11 16 
2 8 11 17 
2 8 11 18 
2 8 11 19 
2 8 12 15 
2 8 12 16 
2 8 12 17 
2 8 12 18 
2 8 12 19 
2 8 13 15 
2 8 13 16 
2 8 13 17 
2 8 13 18 
2 8 13 19 
2 8 14 15 
2 8 14 16 
2 8 14 17 
2 8 14 18 
2 8 14 19 
2 9 10 15 
2 9 10 16 
2 9 10 17 
2 9 10 18 
2 9 10 19 
2 9 11 15 
2 9 11 16 
2 9 11 17 
2 9 11 18 
2 9 11 19 
2 9 12 15 
2 9 12 16 
2 9 12 17 
2 9 12 18 
2 9 12 19 
2 9 13 15 
2 9 13 16 
2 9 13 17 
2 9 13 18 
2 9 13 19 
2 9 14 15 
2 9 14 16 
2 9 14 17 
2 9 14 18 
2 9 14 19 
3 5 10 15 
3 5 10 16 
3 5 10 17 
3 5 10 18 
3 5 10 19 
3 5 11 15 
3 5 11 16 
3 5 11 17 
3 5 11 18 
3 5 11 19 
3 5 12 15 
3 5 12 16 
3 5 12 17 
3 5 12 18 
3 5 12 19 
3 5 13 15 
3 5 13 16 
3 5 13 17 
3 5 13 18 
3 5 13 19 
3 5 14 15 
3 5 14 16 
3 5 14 17 
3 5 14 18 
3 5 14 19 
3 6 10 15 
3 6 10 16 
3 6 10 17 
3 6 10 18 
3 6 10 19 
3 6 11 15 
3 6 11 16 
3 6 11 17 
3 6 11 18 
3 6 11 19 
3 6 12 15 
3 6 12 16 
3 6 12 17 
3 6 12 18 
3 6 12 19 
3 6 13 15 
3 6 13 16 
3 6 13 17 
3 6 13 18 
3 6 13 19 
3 6 14 15 
3 6 14 16 
3 6 14 17 
3 6 14 18 
3 6 14 19 
3 7 10 15 
3 7 10 16 
3 7 10 17 
3 7 10 18 
3 7 10 19 
3 7 11 15 
3 7 11 16 
3 7 11 17 
3 7 11 18 
3 7 11 19 
3 7 12 15 
3 7 12 16 
3 7 12 17 
3 7 12 18 
3 7 12 19 
3 7 13 15 
3 7 13 16 
3 7 13 17 
3 7 13 18 
3 7 13 19 
3 7 14 15 
3 7 14 16 
3 7 14 17 
3 7 14 18 
3 7 14 19 
3 8 10 15 
3 8 10 16 
3 8 10 17 
3 8 10 18 
3 8 10 19 
3 8 11 15 
3 8 11 16 
3 8 11 17 
3 8 11 18 
3 8 11 19 
3 8 12 15 
3 8 12 16 
3 8 12 17 
3 8 12 18 
3 8 12 19 
3 8 13 15 
3 8 13 16 
3 8 13 17 
3 8 13 18 
3 8 13 19 
3 8 14 15 
3 8 14 16 
3 8 14 17 
3 8 14 18 
3 8 14 19 
3 9 10 15 
3 9 10 16 
3 9 10 17 
3 9 10 18 
3 9 10 19 
3 9 11 15 
3 9 11 16 
3 9 11 17 
3 9 11 18 
3 9 11 19 
3 9 12 15 
3 9 12 16 
3 9 12 17 
3 9 12 18 
3 9 12 19 
3 9 13 15 
3 9 13 16 
3 9 13 17 
3 9 13 18 
3 9 13 19 
3 9 14 15 
3 9 14 16 
3 9 14 17 
3 9 14 18 
3 9 14 19 
4 5 10 15 
4 5 10 16 
4 5 10 17 
4 5 10 18 
4 5 10 19 
4 5 11 15 
4 5 11 16 
4 5 11 17 
4 5 11 18 
4 5 11 19 
4 5 12 15 
4 5 12 16 
4 5 12 17 
4 5 12 18 
4 5 12 19 
4 5 13 15 
4 5 13 16 
4 5 13 17 
4 5 13 18 
4 5 13 19 
4 5 14 15 
4 5 14 16 
4 5 14 17 
4 5 14 18 
4 5 14 19 
4 6 10 15 
4 6 10 16 
4 6 10 17 
4 6 10 18 
4 6 10 19 
4 6 11 15 
4 6 11 16 
4 6 11 17 
4 6 11 18 
4 6 11 19 
4 6 12 15 
4 6 12 16 
4 6 12 17 
4 6 12 18 
4 6 12 19 
4 6 13 15 
4 6 13 16 
4 6 13 17 
4 6 13 18 
4 6 13 19 
4 6 14 15 
4 6 14 16 
4 6 14 17 
4 6 14 18 
4 6 14 19 
4 7 10 15 
4 7 10 16 
4 7 10 17 
4 7 10 18 
4 7 10 19 
4 7 11 15 
4 7 11 16 
4 7 11 17 
4 7 11 18 
4 7 11 19 
4 7 12 15 
4 7 12 16 
4 7 12 17 
4 7 12 18 
4 7 12 19 
4 7 13 15 
4 7 13 16 
4 7 13 17 
4 7 13 18 
4 7 13 19 
4 7 14 15 
4 7 14 16 
4 7 14 17 
4 7 14 18 
4 7 14 19 
4 8 10 15 
4 8 10 16 
4 8 10 17 
4 8 10 18 
4 8 10 19 
4 8 11 15 
4 8 11 16 
4 8 11 17 
4 8 11 18 
4 8 11 19 
4 8 12 15 
4 8 12 16 
4 8 12 17 
4 8 12 18 
4 8 12 19 
4 8 13 15 
4 8 13 16 
4 8 13 17 
4 8 13 18 
4 8 13 19 
4 8 14 15 
4 8 14 16 
4 8 14 17 
4 8 14 18 
4 8 14 19 
4 9 10 15 
4 9 10 16 
4 9 10 17 
4 9 10 18 
4 9 10 19 
4 9 11 15 
4 9 11 16 
4 9 11 17 
4 9 11 18 
4 9 11 19 
4 9 12 15 
4 9 12 16 
4 9 12 17 
4 9 12 18 
4 9 12 19 
4 9 13 15 
4 9 13 16 
4 9 13 17 
4 9 13 18 
4 9 13 19 
4 9 14 15 
4 9 14 16 
4 9 14 17 
4 9 14 18 
4 9 14 19 
